"sensorId","type","value","createdAt"
"B4:8A:0A:81:06:00-BatteryVoltage","BATTERY_VOLTAGE",4.099,"2023-12-28 02:50:14.283+00"
"28F64A43D4E13CC9","TEMPERATURE",21.4,"2023-12-28 02:50:14.341+00"
"2812CE43D4E13CE8","TEMPERATURE",10.09,"2023-12-08 00:07:47.184+00"
"286C3543D4E13CB5","TEMPERATURE",27.96,"2023-12-28 02:50:14.324+00"
"28214043D4E13C35","TEMPERATURE",16.34,"2023-12-28 02:50:14.355+00"
"28D00594970203C6","AMBIENT_TEMPERATURE",11.5,"2023-11-21 17:29:48.788+00"
"B4:8A:0A:81:06:00-Hiveweight","WEIGHT",34426.285,"2023-12-28 02:50:14.298+00"
"287C5E43D4E13C8F","TEMPERATURE",14.71,"2023-12-28 02:50:14.336+00"
"28D00594970203C6","AMBIENT_TEMPERATURE",14,"2023-09-29 09:33:19.71+00"
"28A53A43D4E13CD3","TEMPERATURE",7.4,"2023-12-28 02:50:14.356+00"
"28182943D4E13CAC","TEMPERATURE",21.9,"2023-12-08 00:07:47.155+00"
"28214043D4E13C35","TEMPERATURE",18.34,"2023-12-08 00:07:47.2+00"
"B4:8A:0A:81:06:00-BatteryVoltage","BATTERY_VOLTAGE",4.08,"2023-09-07 16:49:52.794+00"
"28D00594970203C6","AMBIENT_TEMPERATURE",2,"2023-12-28 02:50:14.301+00"
"2812CE43D4E13CE8","TEMPERATURE",7.59,"2023-12-28 02:50:14.338+00"
"B4:8A:0A:81:06:00-Hiveweight","WEIGHT",34703.194,"2023-11-21 17:29:48.798+00"
"B4:8A:0A:81:06:00-BatteryVoltage","BATTERY_VOLTAGE",3.774,"2023-10-21 13:05:34.588+00"
"B4:8A:0A:81:06:00-BatteryVoltage","BATTERY_VOLTAGE",3.846,"2023-11-21 17:29:48.778+00"
"B4:8A:0A:81:06:00-BatteryVoltage","BATTERY_VOLTAGE",3.809,"2023-12-08 00:07:47.136+00"
"287C5E43D4E13C8F","TEMPERATURE",17.71,"2023-12-08 00:07:47.18+00"
"28D39E43D4E13CD5","TEMPERATURE",11.52,"2023-12-08 00:07:47.199+00"
"B4:8A:0A:81:06:00-BatteryVoltage","BATTERY_VOLTAGE",3.87,"2023-09-17 04:55:58.528+00"
"28D00594970203C6","AMBIENT_TEMPERATURE",16,"2023-09-17 04:55:58.57+00"
"28D00594970203C6","AMBIENT_TEMPERATURE",6.5,"2023-10-21 13:05:34.61+00"
"286C3543D4E13CB5","TEMPERATURE",26.46,"2023-12-08 00:07:47.174+00"
"B4:8A:0A:81:06:00-BatteryVoltage","BATTERY_VOLTAGE",3.564,"2023-10-16 05:27:40.257+00"
"B4:8A:0A:81:06:00-BatteryVoltage","BATTERY_VOLTAGE",3.648,"2023-10-22 18:37:49.108+00"
"28182943D4E13CAC","TEMPERATURE",24.9,"2023-12-25 07:10:21.513+00"
"28F64A43D4E13CC9","TEMPERATURE",26.4,"2023-12-25 07:10:21.55+00"
"28351643D4E13CBB","TEMPERATURE",21.9,"2023-12-25 07:10:21.569+00"
"28351643D4E13CBB","TEMPERATURE",16.9,"2023-12-08 00:07:47.196+00"
"28A53A43D4E13CD3","TEMPERATURE",9.4,"2023-12-08 00:07:47.202+00"
"B4:8A:0A:81:06:00-BatteryVoltage","BATTERY_VOLTAGE",3.819,"2023-12-25 07:10:21.495+00"
"28D00594970203C6","AMBIENT_TEMPERATURE",23,"2023-09-07 16:49:52.836+00"
"B4:8A:0A:81:06:00-BatteryVoltage","BATTERY_VOLTAGE",4.059,"2023-09-25 18:32:53.625+00"
